Label Encoding:
no=[1, 0]
yes=[0, 1]
[('given-when-then', 'software requirements review')],[[ 0.76632172  0.23367828]]
[('planning poker', 'software requirements review')],[[ 0.76632172  0.23367828]]
[('user role', 'software requirements review')],[[ 0.76632112  0.23367889]]
[('potentially shippable product increment', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('Planning Poker', 'software requirements review')],[[ 0.76632178  0.23367825]]
[('product', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('domain definition', 'software requirements review')],[[ 0.76631826  0.23368169]]
[('practices', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('control schedule', 'software requirements review')],[[ 0.76632142  0.23367859]]
[('spike', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('deep', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('demo demonstration', 'software requirements review')],[[ 0.76631624  0.23368379]]
[('ready', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('integration', 'software requirements review')],[[ 0.76632184  0.23367815]]
[('address part', 'software requirements review')],[[ 0.7663213   0.23367871]]
[('external quality', 'software requirements review')],[[ 0.76632035  0.23367959]]
[('linked data', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('lean ux', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('backward execution', 'software requirements review')],[[ 0.76630086  0.23369911]]
[('criteria', 'software requirements review')],[[ 0.76632178  0.23367821]]
[('command', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('waterscrum', 'software requirements review')],[[ 0.76632214  0.23367785]]
[('management', 'software requirements review')],[[ 0.76632047  0.23367952]]
[('point', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('implementable story', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('Certified Scrum Trainer', 'software requirements review')],[[ 0.76631904  0.23368093]]
[('time', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('T-shaped skills', 'software requirements review')],[[ 0.76631987  0.23368007]]
[('signature', 'software requirements review')],[[ 0.76632214  0.23367785]]
[('granularity', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('sprint plan', 'software requirements review')],[[ 0.76631427  0.23368575]]
[('tool', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('product owner', 'software requirements review')],[[ 0.76632154  0.23367845]]
[('method', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('technical review', 'software requirements review')],[[ 0.11433163  0.8856684 ]]
[('down', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('complete', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('cadence', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('refactoring', 'software requirements review')],[[ 0.76632231  0.23367764]]
[('transaction', 'software requirements review')],[[ 0.76632178  0.23367821]]
[('life cycle', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('safety', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('coordination', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('configuration', 'software requirements review')],[[ 0.76632059  0.23367943]]
[('software design verification', 'software requirements review')],[[ 0.0687967   0.93120331]]
[('waterfall process', 'software requirements review')],[[ 0.76632172  0.23367834]]
[('unknown unknowns', 'software requirements review')],[[ 0.76632273  0.23367721]]
[('product management', 'software requirements review')],[[ 0.76631749  0.23368247]]
[('adaptation data', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('theme', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('picture', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('feedback', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('team', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('chart', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('job', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('multi-valued property', 'software requirements review')],[[ 0.7663213   0.23367876]]
[('sprint review', 'software requirements review')],[[ 0.11397023  0.88602972]]
[('test coverage', 'software requirements review')],[[ 0.76631993  0.23368004]]
[('service provider', 'software requirements review')],[[ 0.76628029  0.23371969]]
[('level', 'software requirements review')],[[ 0.76632148  0.2336785 ]]
[('servant leader', 'software requirements review')],[[ 0.76632172  0.23367834]]
[('documentation', 'software requirements review')],[[ 0.76631141  0.23368856]]
[('project notebook', 'software requirements review')],[[ 0.76632261  0.23367739]]
[('framework', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('silent grouping', 'software requirements review')],[[ 0.76632231  0.23367769]]
[('visual agilexicon', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('burnup chart', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('scrum framework', 'software requirements review')],[[ 0.76632136  0.23367867]]
[('prototype', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('contract', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('trademark', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('sprint mapping', 'software requirements review')],[[ 0.76632035  0.23367959]]
[('domain', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('assumptions', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('group', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('uncertainty', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('estimate', 'software requirements review')],[[ 0.76632214  0.23367792]]
[('build', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('exit', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('done-done', 'software requirements review')],[[ 0.76632273  0.23367721]]
[('context', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('specification language', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('software product', 'software requirements review')],[[ 0.11433737  0.88566256]]
[('idle work', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('non-functional requirement', 'software requirements review')],[[ 0.11439278  0.88560724]]
[('consistent', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('burndown chart', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('mura', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('table', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('strategy', 'software requirements review')],[[ 0.76632196  0.23367795]]
[('request', 'software requirements review')],[[ 0.76632023  0.23367979]]
[('story points', 'software requirements review')],[[ 0.76630545  0.23369451]]
[('swarming', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('standup', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('diagram', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('queue', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('confidence threshold', 'software requirements review')],[[ 0.76631927  0.23368077]]
[('automation', 'software requirements review')],[[ 0.76632106  0.23367892]]
[('insight backlog', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('agile software development methodology', 'software requirements review')],[[ 0.14935492  0.85064512]]
[('all-at-once development', 'software requirements review')],[[ 0.76632172  0.23367828]]
[('application engineering', 'software requirements review')],[[ 0.76631904  0.23368093]]
[('process', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('event timeline', 'software requirements review')],[[ 0.76632231  0.23367764]]
[('story', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('fail safe', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('scrummerfall', 'software requirements review')],[[ 0.76632285  0.23367713]]
[('deployment', 'software requirements review')],[[ 0.76632148  0.2336785 ]]
[('engineering', 'software requirements review')],[[ 0.76632094  0.23367904]]
[('override', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('interface', 'software requirements review')],[[ 0.76632154  0.23367845]]
[('devops', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('simplicity', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('access', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('holding cost', 'software requirements review')],[[ 0.7663219   0.23367806]]
[('output product', 'software requirements review')],[[ 0.76632148  0.2336785 ]]
[('programming language', 'software requirements review')],[[ 0.76632231  0.23367764]]
[('output', 'software requirements review')],[[ 0.76632094  0.23367904]]
[('certified scrum trainer', 'software requirements review')],[[ 0.76631206  0.23368794]]
[('definition of ready', 'software requirements review')],[[ 0.76631379  0.23368618]]
[('bottom-up design', 'software requirements review')],[[ 0.76629537  0.23370457]]
[('genchi genbutsu', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('emotions seismogram', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('budget', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('attribute', 'software requirements review')],[[ 0.76632196  0.23367803]]
[('bottom-up', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('external', 'software requirements review')],[[ 0.76632273  0.23367721]]
[('points', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('portfolio management', 'software requirements review')],[[ 0.76631248  0.23368749]]
[('language', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('end uncertainty', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('Scrum', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('process improvement', 'software requirements review')],[[ 0.76631975  0.23368031]]
[('ceremony', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('cost-plus-fixed-fee contract', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('stand-up', 'software requirements review')],[[ 0.76632297  0.23367706]]
[('fixed-date release', 'software requirements review')],[[ 0.76621675  0.23378323]]
[('place', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('remote team member', 'software requirements review')],[[ 0.76627958  0.23372044]]
[('assessment scope', 'software requirements review')],[[ 0.76624846  0.23375151]]
[('counter', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('top-down', 'software requirements review')],[[ 0.76632273  0.23367721]]
[('parameter', 'software requirements review')],[[ 0.76632136  0.23367862]]
[('key', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('status word', 'software requirements review')],[[ 0.76632023  0.23367979]]
[('reliability', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('layer', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('meaning', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('solution', 'software requirements review')],[[ 0.76632214  0.23367785]]
[('Certified ScrumMaster', 'software requirements review')],[[ 0.76632172  0.23367834]]
[('in-process product', 'software requirements review')],[[ 0.76632082  0.23367923]]
[('team member', 'software requirements review')],[[ 0.76632214  0.23367785]]
[('issue', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('tutorial', 'software requirements review')],[[ 0.76632231  0.23367764]]
[('system demo', 'software requirements review')],[[ 0.76631337  0.2336866 ]]
[('read', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('measure', 'software requirements review')],[[ 0.76632231  0.23367769]]
[('relative size measure', 'software requirements review')],[[ 0.76625395  0.2337461 ]]
[('label', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('asset', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('strategic technical debt', 'software requirements review')],[[ 0.7663089   0.23369108]]
[('operation', 'software requirements review')],[[ 0.76632142  0.23367859]]
[('forward pass', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('priority', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('complexity matrix', 'software requirements review')],[[ 0.76632136  0.23367867]]
[('software engineering', 'software requirements review')],[[ 0.09586575  0.90413421]]
[('purpose', 'software requirements review')],[[ 0.76632231  0.23367764]]
[('policy', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('software quality characteristic', 'software requirements review')],[[ 0.11433885  0.88566118]]
[('design pattern', 'software requirements review')],[[ 0.76632214  0.23367785]]
[('task', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('environment', 'software requirements review')],[[ 0.76632011  0.23367991]]
[('timeline', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('sizing', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('critical path', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('verify scope', 'software requirements review')],[[ 0.76631832  0.23368165]]
[('item', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('co-location', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('report', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('agile release train', 'software requirements review')],[[ 0.76596218  0.23403779]]
[('defect', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('scrum master', 'software requirements review')],[[ 0.7663219   0.23367806]]
[('property', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('template', 'software requirements review')],[[ 0.76632231  0.23367764]]
[('ordered list', 'software requirements review')],[[ 0.7663219   0.23367806]]
[('idle', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('velocity', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('personas', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('epic', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('unit', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('fail-safe', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('class', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('degree of confidence', 'software requirements review')],[[ 0.76631027  0.23368973]]
[('portfolio planning', 'software requirements review')],[[ 0.7663219   0.23367806]]
[('loop control', 'software requirements review')],[[ 0.76632196  0.23367803]]
[('accuracy', 'software requirements review')],[[ 0.76632214  0.23367785]]
[('ideal hours', 'software requirements review')],[[ 0.7663222   0.23367782]]
[('user roles', 'software requirements review')],[[ 0.76632166  0.23367837]]
[('development project', 'software requirements review')],[[ 0.76631337  0.2336866 ]]
[('cynefin', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('whole-team approach', 'software requirements review')],[[ 0.76631904  0.23368093]]
[('lifecycle profits', 'software requirements review')],[[ 0.76632214  0.23367785]]
[('software quality', 'software requirements review')],[[ 0.11428599  0.88571399]]
[('period', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('community', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('platform', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('develop project management plan', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('product roadmap', 'software requirements review')],[[ 0.76632178  0.23367825]]
[('complex domain', 'software requirements review')],[[ 0.76632261  0.23367739]]
[('cookie', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('stakeholder value', 'software requirements review')],[[ 0.7663185   0.23368154]]
[('pattern', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('certified scrum professional', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('data date', 'software requirements review')],[[ 0.76632071  0.23367926]]
[('term', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('project management team', 'software requirements review')],[[ 0.76615936  0.23384066]]
[('software requirements analysis', 'software requirements review')],[[ 0.00602641  0.99397355]]
[('actual cost of work performed', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('scrum sprint', 'software requirements review')],[[ 0.76631892  0.2336811 ]]
[('up', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('development cycle', 'software requirements review')],[[ 0.76629061  0.23370937]]
[('detailed design specification', 'software requirements review')],[[ 0.76631218  0.23368786]]
[('function', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('kanban', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('cause', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('software development notebook', 'software requirements review')],[[ 0.08773825  0.91226172]]
[('self-documented', 'software requirements review')],[[ 0.76632065  0.23367934]]
[('mapping', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('fixed-scope release', 'software requirements review')],[[ 0.76625603  0.23374395]]
[('cargo cult', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('entity', 'software requirements review')],[[ 0.76632231  0.23367764]]
[('instance', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('lifecycle', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('pig', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('limits', 'software requirements review')],[[ 0.76632226  0.23367773]]
[('Certified Scrum Professional', 'software requirements review')],[[ 0.76632208  0.23367795]]
[('source', 'software requirements review')],[[ 0.76632172  0.23367828]]
[('outcome measure', 'software requirements review')],[[ 0.76628333  0.23371667]]
[('extreme programming', 'software requirements review')],[[ 0.76631588  0.23368408]]
[('collaboration', 'software requirements review')],[[ 0.76632172  0.23367828]]
[('predictive process', 'software requirements review')],[[ 0.76632178  0.23367825]]
[('economically sensible scrum', 'software requirements review')],[[ 0.76632196  0.23367803]]
[('maintenance personnel', 'software requirements review')],[[ 0.76632172  0.23367834]]
[('control', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('principle of least astonishment', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('simultaneous', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('return', 'software requirements review')],[[ 0.76632196  0.23367795]]
[('list', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('elementary process', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('change', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('enterprise value chain', 'software requirements review')],[[ 0.76631528  0.23368478]]
[('test class', 'software requirements review')],[[ 0.76632243  0.2336776 ]]
[('antifragile', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('milestone', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('entry', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('integrate', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('rework', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('simple domain', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('bottleneck', 'software requirements review')],[[ 0.76632231  0.23367764]]
[('strategic filter', 'software requirements review')],[[ 0.76631862  0.23368135]]
[('supervisor', 'software requirements review')],[[ 0.76632124  0.23367882]]
[('step', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('resolve', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('taskboard', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('total', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('authority', 'software requirements review')],[[ 0.7663222   0.23367782]]
[('quantity', 'software requirements review')],[[ 0.76632214  0.23367785]]
[('continuous deployment', 'software requirements review')],[[ 0.76631409  0.23368593]]
[('run stream', 'software requirements review')],[[ 0.76632142  0.23367859]]
[('emotions seismograph', 'software requirements review')],[[ 0.76632315  0.23367684]]
[('sprint planning meeting', 'software requirements review')],[[ 0.76631647  0.23368354]]
[('customer-value-creation sprint', 'software requirements review')],[[ 0.7663222   0.23367782]]
[('include', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('product development effort', 'software requirements review')],[[ 0.76623684  0.23376313]]
[('taxonomy', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('forecast', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('do-nothing operation', 'software requirements review')],[[ 0.76632047  0.23367958]]
[('database', 'software requirements review')],[[ 0.76632231  0.23367769]]
[('schedule', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('class data', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('inventory', 'software requirements review')],[[ 0.76632231  0.23367769]]
[('ideal hour', 'software requirements review')],[[ 0.76632261  0.23367739]]
[('risk', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('coding', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('portfolio backlog', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('deliverables', 'software requirements review')],[[ 0.76632214  0.23367785]]
[('aggregation', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('scrum of scrums', 'software requirements review')],[[ 0.76632214  0.23367785]]
[('resource', 'software requirements review')],[[ 0.76632196  0.23367795]]
[('security', 'software requirements review')],[[ 0.76632166  0.23367837]]
[('assumption', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('design element', 'software requirements review')],[[ 0.76631373  0.23368633]]
[('early start date', 'software requirements review')],[[ 0.76630294  0.23369701]]
[('daily standup', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('deployment plan', 'software requirements review')],[[ 0.76632309  0.23367687]]
[('agreement', 'software requirements review')],[[ 0.76631761  0.23368244]]
[('validation', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('schedule development', 'software requirements review')],[[ 0.7662515   0.23374848]]
[('user-story-writing workshop', 'software requirements review')],[[ 0.76632261  0.23367739]]
[('timebox', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('task board', 'software requirements review')],[[ 0.76632208  0.23367795]]
[('driver', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('box', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('imposed date', 'software requirements review')],[[ 0.76632261  0.23367739]]
[('last responsible moment', 'software requirements review')],[[ 0.7663154   0.23368461]]
[('run', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('crisis', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('algorithm', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('role', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('reusable', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('tacit knowledge', 'software requirements review')],[[ 0.76632261  0.23367739]]
[('efficiency', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('analysis', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('accept', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('product backlog refinement', 'software requirements review')],[[ 0.76631534  0.23368464]]
[('object', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('event', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('pseudo operation', 'software requirements review')],[[ 0.76632243  0.2336776 ]]
[('facilitation', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('variability', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('inspection', 'software requirements review')],[[ 0.76632249  0.23367752]]
[('exit criteria', 'software requirements review')],[[ 0.76631624  0.23368375]]
[('back-to-back testing', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('fault-tolerant', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('input', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('diagram page', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('ScrumMaster', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('lead', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('data', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('case', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('economic filter', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('user', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('chicken', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('story mapping', 'software requirements review')],[[ 0.76631641  0.23368357]]
[('net', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('prediction', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('traditional development process', 'software requirements review')],[[ 0.76631653  0.2336835 ]]
[('defect repair', 'software requirements review')],[[ 0.76632088  0.23367909]]
[('transaction cost', 'software requirements review')],[[ 0.7663213   0.23367871]]
[('binning', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('owner', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('quality', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('naive technical debt', 'software requirements review')],[[ 0.76631874  0.23368123]]
[('deliver', 'software requirements review')],[[ 0.76632231  0.23367769]]
[('product owner proxy', 'software requirements review')],[[ 0.76632005  0.23368001]]
[('happened-upon technical debt', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('stage', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('daily scrum', 'software requirements review')],[[ 0.76632255  0.23367743]]
[('kano model analysis', 'software requirements review')],[[ 0.766321    0.23367901]]
[('estimation', 'software requirements review')],[[ 0.76632243  0.23367755]]
[('high level', 'software requirements review')],[[ 0.76632142  0.23367852]]
[('segment', 'software requirements review')],[[ 0.76632154  0.2336784 ]]
[("won't-have features", 'software requirements review')],[[ 0.76632661  0.23367341]]
[('product vision', 'software requirements review')],[[ 0.76632148  0.2336785 ]]
[('opportunity', 'software requirements review')],[[ 0.76632226  0.23367773]]
[('specification', 'software requirements review')],[[ 0.7663219   0.23367806]]
[('nonfunctional requirements', 'software requirements review')],[[ 0.11442833  0.88557172]]
[('technical practices', 'software requirements review')],[[ 0.76632196  0.23367795]]
[('diagram feature reference', 'software requirements review')],[[ 0.76625127  0.23374869]]
[('objective', 'software requirements review')],[[ 0.76632267  0.23367736]]
[('component team', 'software requirements review')],[[ 0.76631725  0.23368283]]
[('requirements specification language', 'software requirements review')],[[ 0.66949993  0.3305001 ]]
[('subject area', 'software requirements review')],[[ 0.76631784  0.23368216]]
[('essential Scrum', 'software requirements review')],[[ 0.76632261  0.23367739]]
[('model', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('genba', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('proof', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('regression testing', 'software requirements review')],[[ 0.76628578  0.23371418]]
[('investment', 'software requirements review')],[[ 0.76632226  0.23367777]]
[('measurement function', 'software requirements review')],[[ 0.76630384  0.23369612]]
[('WaterScrum', 'software requirements review')],[[ 0.76632255  0.23367748]]
[('information', 'software requirements review')],[[ 0.76632154  0.23367845]]
[('documentation tree', 'software requirements review')],[[ 0.76630461  0.23369534]]
[('chickens', 'software requirements review')],[[ 0.76632273  0.23367725]]
[('mandatory', 'software requirements review')],[[ 0.76632267  0.23367728]]
[('test criteria', 'software requirements review')],[[ 0.76631767  0.23368233]]
