Label Encoding:
no=[1, 0]
yes=[0, 1]
[('tacit knowledge', 'scrum team')],[[ 0.7433058  0.2566942]]
[('computer', 'scrum team')],[[ 0.06223339  0.93776655]]
[('quantity', 'scrum team')],[[ 0.17132908  0.82867098]]
[('linked data', 'scrum team')],[[ 0.25423995  0.74576002]]
[('exit', 'scrum team')],[[ 0.43813169  0.56186837]]
[('waterfall', 'scrum team')],[[ 0.67658502  0.32341498]]
[('practice', 'scrum team')],[[ 0.06449796  0.93550199]]
[('cast', 'scrum team')],[[ 0.4549666  0.5450334]]
[('absolute', 'scrum team')],[[ 0.47868964  0.52131033]]
[('pair programming', 'scrum team')],[[ 0.66862261  0.33137742]]
[('pig', 'scrum team')],[[ 0.6425727  0.3574273]]
[('risk management', 'scrum team')],[[ 0.73348927  0.26651075]]
[('format', 'scrum team')],[[ 0.09804258  0.90195739]]
[('technical stories', 'scrum team')],[[ 0.74186903  0.25813094]]
[('release train', 'scrum team')],[[ 0.12282554  0.87717444]]
[('kanban', 'scrum team')],[[ 0.47367322  0.52632678]]
[('idle work', 'scrum team')],[[ 0.23484063  0.76515943]]
[('counter', 'scrum team')],[[ 0.09425347  0.90574658]]
[('potentially shippable product increment', 'scrum team')],[[ 0.76632273  0.23367725]]
[('language', 'scrum team')],[[ 0.57789236  0.4221077 ]]
[('bottom-up design', 'scrum team')],[[ 0.7393266   0.26067346]]
[('assumptions', 'scrum team')],[[ 0.39777762  0.60222232]]
[('fault-tolerant', 'scrum team')],[[ 0.59698254  0.4030174 ]]
[('incremental funding', 'scrum team')],[[ 0.75025791  0.24974214]]
[('scrum team', 'scrum team')],[[  8.16020266e-13   1.00000000e+00]]
[('naive technical debt', 'scrum team')],[[ 0.76530945  0.23469059]]
[('project management', 'scrum team')],[[ 0.75513911  0.24486089]]
[('servant leader', 'scrum team')],[[ 0.13282357  0.86717647]]
[('ceremony', 'scrum team')],[[ 0.21765171  0.78234833]]
[('automation', 'scrum team')],[[ 0.16370723  0.83629268]]
[('predictive process', 'scrum team')],[[ 0.75702399  0.24297599]]
[('policy', 'scrum team')],[[ 0.51163363  0.4883664 ]]
[('T-shaped skills', 'scrum team')],[[ 0.74867636  0.25132364]]
[('star schema', 'scrum team')],[[ 0.09804946  0.90195054]]
[('project chartering', 'scrum team')],[[ 0.74509227  0.25490773]]
[('stakeholders', 'scrum team')],[[ 0.61415797  0.385842  ]]
[('kaizen', 'scrum team')],[[ 0.57570148  0.42429852]]
[('all-at-once development', 'scrum team')],[[ 0.76630461  0.23369534]]
[('medium', 'scrum team')],[[ 0.27178672  0.72821331]]
[('specification by example', 'scrum team')],[[ 0.76626039  0.23373966]]
[('request', 'scrum team')],[[ 0.11609739  0.88390261]]
[('certified scrum product owner', 'scrum team')],[[ 0.11970994  0.88029009]]
[('ready', 'scrum team')],[[ 0.66488868  0.33511135]]
[('fail-fast', 'scrum team')],[[ 0.33762854  0.6623714 ]]
[('sprint planning meeting', 'scrum team')],[[ 0.76386911  0.23613091]]
[('prediction', 'scrum team')],[[ 0.53118831  0.46881169]]
[('execution', 'scrum team')],[[ 0.15681739  0.84318262]]
[('term', 'scrum team')],[[ 0.05578775  0.9442122 ]]
[('Planning Poker', 'scrum team')],[[ 0.71269923  0.28730077]]
[('mura', 'scrum team')],[[ 0.663194    0.33680606]]
[('transaction', 'scrum team')],[[ 0.6906476  0.3093524]]
[('road map', 'scrum team')],[[ 0.05414668  0.94585323]]
[('waterfall process', 'scrum team')],[[ 0.74238896  0.25761107]]
[('resource', 'scrum team')],[[ 0.21335585  0.78664416]]
[('activity', 'scrum team')],[[ 0.04722439  0.9527756 ]]
[('prescriptive process', 'scrum team')],[[ 0.76314706  0.23685293]]
[('life-cycle processes', 'scrum team')],[[ 0.76617879  0.23382121]]
[('agile development practices', 'scrum team')],[[ 0.76632166  0.23367837]]
[('shell', 'scrum team')],[[ 0.40874249  0.59125745]]
[('product development effort', 'scrum team')],[[ 0.76631463  0.23368536]]
[('diagram page', 'scrum team')],[[ 0.04777567  0.95222437]]
[('event', 'scrum team')],[[ 0.30431378  0.69568622]]
[('regression testing', 'scrum team')],[[ 0.75001079  0.24998918]]
[('known technical debt', 'scrum team')],[[ 0.76520509  0.23479499]]
[('pass', 'scrum team')],[[ 0.71204901  0.28795096]]
[('process', 'scrum team')],[[ 0.07064984  0.92935014]]
[('verify scope', 'scrum team')],[[ 0.39033246  0.60966754]]
[('targeted technical debt', 'scrum team')],[[ 0.76619482  0.23380519]]
[('customer', 'scrum team')],[[ 0.11903735  0.88096261]]
[('include', 'scrum team')],[[ 0.28017661  0.71982348]]
[('fault', 'scrum team')],[[ 0.12993303  0.87006694]]
[('definition of done', 'scrum team')],[[ 0.76614702  0.23385294]]
[('invest', 'scrum team')],[[ 0.67527795  0.32472199]]
[('global attribute', 'scrum team')],[[ 0.74985456  0.25014541]]
[('three questions', 'scrum team')],[[ 0.52504325  0.47495672]]
[('develop project management plan', 'scrum team')],[[ 0.76632267  0.23367728]]
[('agile', 'scrum team')],[[ 0.48321164  0.51678836]]
[('transparency', 'scrum team')],[[ 0.73367202  0.26632795]]
[('note', 'scrum team')],[[ 0.23573391  0.76426607]]
[('whole-team approach', 'scrum team')],[[ 0.11435049  0.8856495 ]]
[('emergence', 'scrum team')],[[ 0.36797962  0.63202035]]
[('category', 'scrum team')],[[ 0.50625271  0.49374732]]
[('commitment', 'scrum team')],[[ 0.04814527  0.95185471]]
[('variability', 'scrum team')],[[ 0.6984064   0.30159363]]
[('problem', 'scrum team')],[[ 0.07346326  0.92653674]]
[('product roadmap', 'scrum team')],[[ 0.36114749  0.63885248]]
[('write', 'scrum team')],[[ 0.12518434  0.87481564]]
[('procedure', 'scrum team')],[[ 0.56854409  0.43145594]]
[('defined process', 'scrum team')],[[ 0.68301946  0.31698057]]
[('configuration control', 'scrum team')],[[ 0.76590759  0.23409241]]
[('total', 'scrum team')],[[ 0.46393692  0.53606302]]
[('timeboxing', 'scrum team')],[[ 0.69930673  0.30069324]]
[('data', 'scrum team')],[[ 0.16404276  0.83595729]]
[('deliver', 'scrum team')],[[ 0.63349438  0.36650571]]
[('project deliverable', 'scrum team')],[[ 0.76165056  0.23834945]]
[('lifecycle', 'scrum team')],[[ 0.59030193  0.40969807]]
[('enterprise value chain', 'scrum team')],[[ 0.76628441  0.23371561]]
[('instruction counter', 'scrum team')],[[ 0.75880766  0.2411923 ]]
[('theme', 'scrum team')],[[ 0.31097257  0.68902743]]
[('sequential process', 'scrum team')],[[ 0.74387449  0.25612551]]
[('principle', 'scrum team')],[[ 0.27839455  0.72160542]]
[('backlog grooming', 'scrum team')],[[ 0.72460508  0.27539498]]
[('functional design', 'scrum team')],[[ 0.73569655  0.26430345]]
[('component', 'scrum team')],[[ 0.08071564  0.9192844 ]]
[('move', 'scrum team')],[[ 0.47212034  0.52787971]]
[('cost of delay', 'scrum team')],[[ 0.44092429  0.55907571]]
[('customer uncertainty', 'scrum team')],[[ 0.76264143  0.2373586 ]]
[('test coverage', 'scrum team')],[[ 0.37024322  0.62975675]]
[('probability', 'scrum team')],[[ 0.754695    0.24530499]]
[('agile manifesto', 'scrum team')],[[ 0.68688458  0.31311545]]
[('strategic technical debt', 'scrum team')],[[ 0.76615304  0.23384702]]
[('standup', 'scrum team')],[[ 0.5366652  0.4633348]]
[('loop control', 'scrum team')],[[ 0.48044324  0.5195567 ]]
[('threshold', 'scrum team')],[[ 0.53924155  0.46075842]]
[('resolve', 'scrum team')],[[ 0.05854293  0.94145703]]
[('software requirements analysis', 'scrum team')],[[ 0.76632255  0.23367743]]
[('entry', 'scrum team')],[[ 0.33274144  0.6672585 ]]
[('product backlog grooming', 'scrum team')],[[ 0.76631975  0.23368025]]
[('scrummerfall', 'scrum team')],[[ 0.34391704  0.65608305]]
[('variance', 'scrum team')],[[ 0.34463394  0.65536606]]
[('scale', 'scrum team')],[[ 0.05955006  0.94044989]]
[('diagram feature reference', 'scrum team')],[[ 0.76607114  0.23392887]]
[('submit', 'scrum team')],[[ 0.06210427  0.93789572]]
[('ideal hour', 'scrum team')],[[ 0.16944271  0.83055729]]
[('portability', 'scrum team')],[[ 0.73219687  0.26780319]]
[('flow chart', 'scrum team')],[[ 0.1879652   0.81203485]]
[('template', 'scrum team')],[[ 0.16696447  0.83303553]]
[('stage', 'scrum team')],[[ 0.22465503  0.77534491]]
[('standup meeting', 'scrum team')],[[ 0.38113853  0.6188615 ]]
[('command', 'scrum team')],[[ 0.25121054  0.74878943]]
[('field', 'scrum team')],[[ 0.39264736  0.60735267]]
[('process action team', 'scrum team')],[[ 0.04324624  0.95675373]]
[('entity', 'scrum team')],[[ 0.38142285  0.61857718]]
[("won't-have features", 'scrum team')],[[ 0.7663461   0.23365396]]
[('Certified Scrum Professional', 'scrum team')],[[ 0.11708919  0.88291079]]
[('exploration', 'scrum team')],[[ 0.65561569  0.34438431]]
[('context', 'scrum team')],[[ 0.0454751   0.95452487]]
[('sprint mapping', 'scrum team')],[[ 0.27759734  0.72240269]]
[('acquisition', 'scrum team')],[[ 0.1011702   0.89882982]]
[('nice-to-have features', 'scrum team')],[[ 0.76616067  0.23383936]]
[('return', 'scrum team')],[[ 0.11346226  0.88653773]]
[('Scrummerfall', 'scrum team')],[[ 0.49295747  0.50704253]]
[('framework', 'scrum team')],[[ 0.08201762  0.91798234]]
[('fast feedback', 'scrum team')],[[ 0.44615653  0.5538435 ]]
[('change', 'scrum team')],[[ 0.08514008  0.91485995]]
[('assessment scope', 'scrum team')],[[ 0.72474694  0.27525306]]
[('function field', 'scrum team')],[[ 0.47925904  0.52074093]]
[('asset', 'scrum team')],[[ 0.34160784  0.65839207]]
[('do-nothing operation', 'scrum team')],[[ 0.76604313  0.2339569 ]]
[('kano analysis', 'scrum team')],[[ 0.64678353  0.35321641]]
[('solution', 'scrum team')],[[ 0.07015132  0.92984873]]
[('sprint planning', 'scrum team')],[[ 0.10400696  0.89599305]]
[('cadence', 'scrum team')],[[ 0.30482441  0.69517559]]
[('test driven development', 'scrum team')],[[ 0.76613456  0.23386542]]
[('prototype', 'scrum team')],[[ 0.10958218  0.89041775]]
[('development project', 'scrum team')],[[ 0.73443383  0.26556617]]
[('schedule performance', 'scrum team')],[[ 0.72386885  0.27613115]]
[('anticipatory process', 'scrum team')],[[ 0.76544005  0.23455997]]
[('fragile', 'scrum team')],[[ 0.50923854  0.4907614 ]]
[('ordered list', 'scrum team')],[[ 0.5896312   0.41036874]]
[('time', 'scrum team')],[[ 0.07727675  0.92272323]]
[('chaotic domain', 'scrum team')],[[ 0.67764211  0.32235795]]
[('emotions seismogram', 'scrum team')],[[ 0.76203096  0.23796906]]
[('release', 'scrum team')],[[ 0.13235444  0.86764556]]
[('emotions seismograph', 'scrum team')],[[ 0.76597464  0.2340254 ]]
[('simultaneous', 'scrum team')],[[ 0.29403991  0.70596015]]
[('acceptance test', 'scrum team')],[[ 0.43737718  0.56262279]]
[('developer', 'scrum team')],[[ 0.29787216  0.70212787]]
[('maintenance', 'scrum team')],[[ 0.15816489  0.84183508]]
[('fail safe', 'scrum team')],[[ 0.20127697  0.79872304]]
[('up', 'scrum team')],[[ 0.63553184  0.36446813]]
[('security', 'scrum team')],[[ 0.04510709  0.95489287]]
[('word', 'scrum team')],[[ 0.46958116  0.53041887]]
[('deployment plan', 'scrum team')],[[ 0.76523697  0.23476303]]
[('label', 'scrum team')],[[ 0.64968956  0.35031044]]
[('configuration', 'scrum team')],[[ 0.73293674  0.26706332]]
[('task board', 'scrum team')],[[ 0.06589278  0.93410724]]
[('inspect and adapt', 'scrum team')],[[ 0.76215094  0.23784909]]
[('project management team', 'scrum team')],[[ 0.05819943  0.94180053]]
[('line of code', 'scrum team')],[[ 0.68222648  0.31777346]]
[('rework', 'scrum team')],[[ 0.56290376  0.43709627]]
[('stand up', 'scrum team')],[[ 0.13171914  0.86828083]]
[('cost-plus-fixed-fee contract', 'scrum team')],[[ 0.7663222   0.23367782]]
[('WaterScrum', 'scrum team')],[[ 0.32040346  0.67959654]]
[('return code', 'scrum team')],[[ 0.15212423  0.84787577]]
[('style', 'scrum team')],[[ 0.16644979  0.83355027]]
[('programming language', 'scrum team')],[[ 0.76527488  0.2347251 ]]
[('review', 'scrum team')],[[ 0.05391131  0.94608867]]
[('client', 'scrum team')],[[ 0.11307239  0.88692766]]
[('test', 'scrum team')],[[ 0.11953144  0.88046855]]
[('chart', 'scrum team')],[[ 0.47148296  0.52851701]]
[('criteria', 'scrum team')],[[ 0.07148878  0.92851126]]
[('application engineering', 'scrum team')],[[ 0.76609766  0.23390229]]
[('summary activity', 'scrum team')],[[ 0.27084562  0.72915435]]
[('continuous delivery', 'scrum team')],[[ 0.76247293  0.23752707]]
[('capex', 'scrum team')],[[ 0.49633655  0.50366348]]
[('efficiency', 'scrum team')],[[ 0.69892949  0.30107057]]
[('layer', 'scrum team')],[[ 0.59155399  0.40844595]]
[('plan risk management', 'scrum team')],[[ 0.76601505  0.23398493]]
[('Scrum', 'scrum team')],[[ 0.01513427  0.98486578]]
[('domain engineering', 'scrum team')],[[ 0.76387596  0.23612401]]
[('technical review', 'scrum team')],[[ 0.2098958   0.79010421]]
[('language binding', 'scrum team')],[[ 0.76365417  0.23634581]]
[('software', 'scrum team')],[[ 0.09474892  0.90525109]]
[('requirements management', 'scrum team')],[[ 0.76588106  0.23411891]]
[('loop', 'scrum team')],[[ 0.69070065  0.30929932]]
[('done-done-done', 'scrum team')],[[ 0.76097816  0.23902185]]
[('marginal economics', 'scrum team')],[[ 0.75976193  0.24023807]]
[('pattern', 'scrum team')],[[ 0.1848416   0.81515837]]
[('release plan', 'scrum team')],[[ 0.23682524  0.76317477]]
[('synchronization', 'scrum team')],[[ 0.71286714  0.28713286]]
[('log', 'scrum team')],[[ 0.62645626  0.37354377]]
[('resume', 'scrum team')],[[ 0.04725325  0.95274669]]
[('source', 'scrum team')],[[ 0.05436094  0.94563907]]
[('development', 'scrum team')],[[ 0.08660124  0.91339868]]
[('external', 'scrum team')],[[ 0.76532668  0.23467328]]
[('partial', 'scrum team')],[[ 0.10360914  0.89639091]]
[('sizing', 'scrum team')],[[ 0.69428873  0.30571127]]
[('scrum of scrums', 'scrum team')],[[ 0.01616355  0.98383647]]
[('feature team', 'scrum team')],[[ 0.00612664  0.99387336]]
[('report', 'scrum team')],[[ 0.42809734  0.57190269]]
[('co-location', 'scrum team')],[[ 0.1564538   0.84354621]]
[('control schedule', 'scrum team')],[[ 0.70192683  0.2980732 ]]
[('multi-valued property', 'scrum team')],[[ 0.76630479  0.23369524]]
[('swarming', 'scrum team')],[[ 0.36021629  0.63978368]]
[('ideal hours', 'scrum team')],[[ 0.26387796  0.73612201]]
[('process improvement', 'scrum team')],[[ 0.75941014  0.24058983]]
[('in-process product', 'scrum team')],[[ 0.76515198  0.23484805]]
[('techniques', 'scrum team')],[[ 0.06137579  0.93862426]]
[('scrum sprint', 'scrum team')],[[ 0.00946503  0.99053496]]
[('requirement', 'scrum team')],[[ 0.46306789  0.53693205]]
[('fail', 'scrum team')],[[ 0.70506489  0.29493511]]
[('artifact', 'scrum team')],[[ 0.51306635  0.48693365]]
[('control', 'scrum team')],[[ 0.15192671  0.84807324]]
[('level', 'scrum team')],[[ 0.19293587  0.80706412]]
[('pipeline', 'scrum team')],[[ 0.21409759  0.78590244]]
[('devops', 'scrum team')],[[ 0.7005989  0.2994011]]
[('all-at-once product development', 'scrum team')],[[ 0.76632255  0.23367743]]
[('data date', 'scrum team')],[[ 0.15763602  0.84236401]]
[('boy scout rule', 'scrum team')],[[ 0.6519987  0.3480013]]
[('validation', 'scrum team')],[[ 0.36437067  0.63562936]]
[('Certified ScrumMaster', 'scrum team')],[[ 0.76288408  0.23711585]]
[('status word', 'scrum team')],[[ 0.05607105  0.94392896]]
[('complex adaptive system', 'scrum team')],[[ 0.76628846  0.23371154]]
[('run stream', 'scrum team')],[[ 0.04438394  0.95561606]]
[('statement', 'scrum team')],[[ 0.14917858  0.85082138]]
[('complete', 'scrum team')],[[ 0.07466578  0.92533422]]
[('menu', 'scrum team')],[[ 0.20621331  0.7937867 ]]
[('service', 'scrum team')],[[ 0.06255686  0.9374432 ]]
[('system', 'scrum team')],[[ 0.0497388   0.95026124]]
[('minimum releasable features', 'scrum team')],[[ 0.76632208  0.23367795]]
[('down', 'scrum team')],[[ 0.72802472  0.27197528]]
[('cause', 'scrum team')],[[ 0.27394766  0.72605228]]
[('quality', 'scrum team')],[[ 0.31155476  0.68844527]]
[('ground term', 'scrum team')],[[ 0.04549566  0.95450437]]
[('method', 'scrum team')],[[ 0.11611754  0.8838824 ]]
[('deep', 'scrum team')],[[ 0.67624497  0.323755  ]]
[('captial expenditure', 'scrum team')],[[ 0.76609725  0.23390271]]
[('idle workers', 'scrum team')],[[ 0.56770784  0.43229216]]
[('iteration', 'scrum team')],[[ 0.53290182  0.46709815]]
[('case', 'scrum team')],[[ 0.15987538  0.84012461]]
[('done', 'scrum team')],[[ 0.32707027  0.6729297 ]]
[('learning loop', 'scrum team')],[[ 0.39873588  0.60126412]]
[('genchi genbutsu', 'scrum team')],[[ 0.7283085   0.27169153]]
[('cost accounting', 'scrum team')],[[ 0.6534726   0.34652746]]
[('result', 'scrum team')],[[ 0.26618001  0.73382002]]
[('progressive refinement', 'scrum team')],[[ 0.7661109   0.23388913]]
[('minimum viable product', 'scrum team')],[[ 0.76618326  0.23381679]]
[('user-story-writing workshop', 'scrum team')],[[ 0.76632226  0.23367773]]
[('lifecycle profits', 'scrum team')],[[ 0.7526679   0.24733211]]
[('product backlog', 'scrum team')],[[ 0.71907926  0.28092077]]
[('test automation', 'scrum team')],[[ 0.40079936  0.59920067]]
[('period', 'scrum team')],[[ 0.4959209   0.50407916]]
[('program increment', 'scrum team')],[[ 0.7167744  0.2832256]]
[('environment', 'scrum team')],[[ 0.49055982  0.50944018]]
[('formal language', 'scrum team')],[[ 0.71488369  0.28511629]]
[('chicken', 'scrum team')],[[ 0.38868424  0.61131573]]
[('early start date', 'scrum team')],[[ 0.73098767  0.26901233]]
[('information radiator', 'scrum team')],[[ 0.7660774   0.23392263]]
[('cardinality', 'scrum team')],[[ 0.75011271  0.24988724]]
[('release planning', 'scrum team')],[[ 0.72109306  0.27890694]]
[('signature', 'scrum team')],[[ 0.204292    0.79570794]]
[('organization', 'scrum team')],[[ 0.67439359  0.32560644]]
[('production', 'scrum team')],[[ 0.25177088  0.74822915]]
[('burndown chart', 'scrum team')],[[ 0.570324    0.42967603]]
[('validated learning', 'scrum team')],[[ 0.76213866  0.23786137]]
[('economically sensible scrum', 'scrum team')],[[ 0.12483473  0.87516528]]
[('rule', 'scrum team')],[[ 0.0652173   0.93478268]]
[('interface control', 'scrum team')],[[ 0.75076425  0.24923573]]
[('product owner proxy', 'scrum team')],[[ 0.76544422  0.23455581]]
[('performance', 'scrum team')],[[ 0.47915736  0.52084261]]
[('dot voting', 'scrum team')],[[ 0.16649143  0.83350861]]
[('issue', 'scrum team')],[[ 0.10432372  0.89567626]]
[('sprintable story', 'scrum team')],[[ 0.74495     0.25504997]]
[('story points', 'scrum team')],[[ 0.24598314  0.75401688]]
[('cookie', 'scrum team')],[[ 0.30975449  0.69024557]]
[('information management', 'scrum team')],[[ 0.7650066   0.23499344]]
[('test environment', 'scrum team')],[[ 0.71078724  0.28921276]]
[('team demo', 'scrum team')],[[ 0.01604531  0.98395467]]
[('development cycle', 'scrum team')],[[ 0.75126803  0.24873191]]
[('software design', 'scrum team')],[[ 0.59614432  0.40385565]]
[('trailer', 'scrum team')],[[ 0.14533548  0.85466456]]
[('endeavor', 'scrum team')],[[ 0.69300812  0.3069919 ]]
[('practices', 'scrum team')],[[ 0.16809319  0.8319068 ]]
[('sprint demo', 'scrum team')],[[ 0.04378338  0.95621657]]
[('independent', 'scrum team')],[[ 0.72506344  0.27493656]]
[('system stakeholder', 'scrum team')],[[ 0.69371468  0.30628532]]
[('distributed team', 'scrum team')],[[ 0.01581205  0.98418796]]
[('web', 'scrum team')],[[ 0.58746791  0.41253203]]
[('just in time', 'scrum team')],[[ 0.35583615  0.64416385]]
[('emergent opportunity', 'scrum team')],[[ 0.76505679  0.23494321]]
[('retrospective', 'scrum team')],[[ 0.55184966  0.4481504 ]]
[('engineering', 'scrum team')],[[ 0.71932042  0.28067961]]
[('objective', 'scrum team')],[[ 0.05928799  0.94071198]]
[('batch size', 'scrum team')],[[ 0.24759978  0.75240022]]
[('specification language', 'scrum team')],[[ 0.76611072  0.23388931]]
[('event timeline', 'scrum team')],[[ 0.47805518  0.52194488]]
[('U-curve optimization', 'scrum team')],[[ 0.76584047  0.23415954]]
[('must-have features', 'scrum team')],[[ 0.76466352  0.23533651]]
[('property', 'scrum team')],[[ 0.26720321  0.73279679]]
[('goal', 'scrum team')],[[ 0.12354974  0.87645024]]
[('points', 'scrum team')],[[ 0.53362125  0.46637881]]
[('inspection', 'scrum team')],[[ 0.41672483  0.58327514]]
[('decision', 'scrum team')],[[ 0.51001173  0.48998821]]
[('design', 'scrum team')],[[ 0.48104736  0.51895267]]
[('Kanban', 'scrum team')],[[ 0.47500342  0.52499658]]
[('high level', 'scrum team')],[[ 0.10040675  0.89959323]]
[('view', 'scrum team')],[[ 0.51563108  0.48436898]]
[('simplicity', 'scrum team')],[[ 0.47672123  0.52327871]]
[('life cycle', 'scrum team')],[[ 0.24572365  0.75427634]]
[('holding cost', 'scrum team')],[[ 0.36272162  0.63727832]]
[('application', 'scrum team')],[[ 0.48828322  0.51171678]]
[('granularity', 'scrum team')],[[ 0.69445986  0.30554008]]
[('community', 'scrum team')],[[ 0.04507731  0.95492268]]
[('crisis', 'scrum team')],[[ 0.27954024  0.7204597 ]]
[('use case model', 'scrum team')],[[ 0.57173085  0.42826912]]
[('measurement function', 'scrum team')],[[ 0.76186305  0.23813696]]
[('work in process', 'scrum team')],[[ 0.70651323  0.29348683]]
[('consumer', 'scrum team')],[[ 0.15527391  0.84472609]]
[('technique', 'scrum team')],[[ 0.51288116  0.48711881]]
[('high order language', 'scrum team')],[[ 0.76585436  0.23414569]]
[('single-piece flow', 'scrum team')],[[ 0.76413256  0.23586747]]
[('software testing', 'scrum team')],[[ 0.52831614  0.47168386]]
[('user', 'scrum team')],[[ 0.1183504   0.88164955]]
[('overload', 'scrum team')],[[ 0.63893819  0.36106178]]
[('project management process group', 'scrum team')],[[ 0.76632273  0.23367725]]
[('argument', 'scrum team')],[[ 0.11351079  0.88648921]]
[('owner', 'scrum team')],[[ 0.05138159  0.94861841]]
[('acceptance criteria', 'scrum team')],[[ 0.757752    0.24224797]]
[('portfolio', 'scrum team')],[[ 0.44169247  0.55830753]]
[('step', 'scrum team')],[[ 0.06096622  0.93903381]]
[('essential Scrum', 'scrum team')],[[ 0.04385253  0.95614749]]
[('daily stand-up', 'scrum team')],[[ 0.73959333  0.26040673]]
[('workflow', 'scrum team')],[[ 0.43384823  0.5661518 ]]
[('risk', 'scrum team')],[[ 0.44765696  0.55234307]]
[('daily scrum', 'scrum team')],[[ 0.03853763  0.96146232]]
[('processing', 'scrum team')],[[ 0.71852499  0.28147501]]
[('strategic filter', 'scrum team')],[[ 0.58771527  0.4122847 ]]
[('personas', 'scrum team')],[[ 0.16891436  0.83108568]]
[('complexity matrix', 'scrum team')],[[ 0.76470745  0.23529263]]
[('external stakeholders', 'scrum team')],[[ 0.7649532   0.23504679]]
[('deliverables', 'scrum team')],[[ 0.74597597  0.254024  ]]
